FinalGameTutorial.Nil.1,长话短说，教程出了点问题调不出来,
FinalGameTutorial.Nil.1001,我们成功进入TT  内网了,
FinalGameTutorial.Nil.1002,只要能在算量上超过他们就能赢,
FinalGameTutorial.Nil.2,情况就是这样，对你来说的话,
FinalGameTutorial.Nil.3,屏幕上面的是对波条,
FinalGameTutorial.Nil.4,这么说有点怪，但对波输了我们就失去一切，明白吗?,
FinalGameTutorial.Nil.5,你可以用键盘的上下左右和鼠标来切换节点,
FinalGameTutorial.Nil.6,这方面很简单，就是哪里亮了点哪里,
FinalGameTutorial.Nil.7,试试吧，只要储存的元气足够多就能胜利,
FinalGameTutorial.Nil.8,好，做得很好！,
FinalGameTutorial.Nil.9,就这样继续！,
FinalGameTutorial.Nil.10,我那边也脱不开身,
FinalGameTutorial.Nil.11,加油啊，麻园的未来全靠你了,
FinalGameTutorial.Nil.12,这么快就被干掉了？！,
FinalGameTutorial.Nil.13,是遇到了很棘手的问题吗？,
FinalGameTutorial.Nil.14,我看看,
FinalGameTutorial.Nil.15,靠，2+2=4 啊,
FinalGameTutorial.Nil.16,再试一次吧,
