GraveCome.Grave.1,你是谁,
GraveCome.Monologue.2,"哦！
终于回了！",
GraveCome.Monologue.3,仔细看看这个人的昵称……,
GraveCome.Monologue.4,括号里的是备注吗……,
GraveCome.Monologue.5,Grave……Grave！,
GraveCome.Monologue.6,应该不是我认识的那个 Grave 老师吧……,
GraveCome.Monologue.7,但是八番设计院还有第二个 Grave 吗？,
GraveCome.Monologue.8,"坏了坏了，
我刚刚为什么要和他说那么蠢的开场白，已经开始紧张了……",
GraveCome.Todo.0,说服 Grave 收 Nami 为徒弟,
GraveCome.Grave.9,你是怎么得到我联系方式的,
GraveCome.Typing.10.1,是猎头推荐的,
GraveCome.Typing.11,我是N2设计院的经理MIki，想问下您最近有没有看新机会的想法？,
GraveCome.Grave.12,哦，不必了,
GraveCome.Grave.13,我没有想法，请你不要再联系我,
GraveCome.Typing.14,那个请您稍等一下！,
GraveCome.Grave.15,什么,
GraveCome.Monologue.16,好险没有被 <color=#DB7F20>删好友</color> ……感觉已经走到了悬崖边上。,
GraveCome.Monologue.17,情况不妙啊，遇到了替身工作最麻烦的一部分。,
GraveCome.Monologue.18,如果被对方 <color=#DB7F20>删好友</color> 的话，这个订单就算是失败了。,
GraveCome.Monologue.19,之后的发言要 <color=#DB7F20>更谨慎</color> 一点才行。,
GraveCome.Typing.20,非常抱歉打扰了您，我有些建筑上的问题想向您请教,
GraveCome.Typing.10.2,我是麻艺的学生，是其他教授给我的,
GraveCome.Monologue.22,……,
GraveCome.Monologue.23,没有回复……,
GraveCome.Typing.24,我想向您请教,
GraveCome.Grave.25,这是我的私人账号，如果有什么问题的话，你可以写邮件到我的工作邮箱Grave@Number8.com,
GraveCome.Typing.10.3,我一直非常仰慕您的建筑设计,
GraveCome.Typing.27,有一个朋友向我推荐了您的账号，冒昧打扰，不知道您方不方便,
GraveCome.Grave.28,我知道了，你是 Nami,
GraveCome.Monologue.29,这就是王牌建筑师的敏锐吗？！,
GraveCome.Typing.30,呃……我是,
GraveCome.Grave.31,我经常听Haruka说起你的事情,
GraveCome.Grave.32,但是我就和你直说了吧,
GraveCome.Grave.33,我希望你不要再和Haruka来往了,
GraveCome.Monologue.34,——！,
GraveCome.Grave.35,你们明年就要升学考试了,
GraveCome.Grave.36,不管你们是恋人也好，还是所谓的朋友,
GraveCome.Grave.37,我是她的监护人，对她对你，这都是一个关键的时期,
GraveCome.Grave.38,我不希望你影响她做出选择,
GraveCome.Monologue.39,"等一下……
Nami 不是已经从麻园艺术学院毕业……",
GraveCome.Monologue.100,并且工作好几年了吗……,
GraveCome.Monologue.101,我居然还幻想他在加班。,
GraveCome.Monologue.102,我居然还幻想他在上设计师网课。,
GraveCome.Monologue.103,我居然还帮他找借口。,
GraveCome.Monologue.40,"呵，
果然是这样，高中生——",
GraveCome.Monologue.41,"高中生的阴谋！
我早就预料到了。",
GraveCome.Monologue.42,……,
GraveCome.Monologue.104,我什么都没料到。,
GraveCome.Monologue.43,"啊，
今天也是被客人耍得团团转的一天呢。",
GraveCome.Monologue.44,只有凭着网络替身的职业道德继续前进了。,
