OutsideHolly.InteractTips,这个人好像刚刚哭过，要和她说点什么吗……,
OutsideHolly.Miki.1,嘿，晚上好。,
OutsideHolly.Holly.2,呃……你好。,
OutsideHolly.Miki.4.0,试着发起话题吧。,
OutsideHolly.Miki.4.1,那个贩卖机。,
OutsideHolly.Miki.5,你要不要去搞点什么吃的？,
OutsideHolly.Miki.6,吃点东西会好些。,
OutsideHolly.Holly.7,吃的……嗯，这里有贩卖机啊。,
OutsideHolly.Holly.8,那应该能买到主食+的东西吧？,
OutsideHolly.Miki.9,对啊，各种奇形怪状的食物。,
OutsideHolly.Holly.10.0,你喜欢主食+吗？,
OutsideHolly.Holly.10.1,喜欢。,
OutsideHolly.Miki.12,各种主食和香料的组合真是太棒了。,
OutsideHolly.Holly.13,谢谢你。,
OutsideHolly.Miki.14,嗯……？怎么突然这么说？,
OutsideHolly.Holly.15,哈哈，没什么。,
OutsideHolly.Holly.10.2,不喜欢,
OutsideHolly.Miki.17,还没吃过他们家的东西。,
OutsideHolly.Holly.18,哦……是吗。,
OutsideHolly.Holly.19,我该走了。,
OutsideHolly.Holly.20,今天实在是发生了太多事情。,
OutsideHolly.Miki.4.2,从来没见过你。,
OutsideHolly.Holly.22,嗯，我不常来朗翠这边。,
OutsideHolly.Miki.23,过来找朋友吗？,
OutsideHolly.Holly.24,算是吧，过来找杯喝的。,
OutsideHolly.Miki.25,这附近以前倒是有人摆摊调酒，现在已经没了。,
OutsideHolly.Holly.26,是吗……好可惜……,
OutsideHolly.Holly.27,你有什么仰仗和依赖的东西吗？,
OutsideHolly.Miki.28,嗯……？问我吗？,
OutsideHolly.Holly.29,嗯。比如公司一类的。,
OutsideHolly.Miki.30,入职的时候雄心壮志。,
OutsideHolly.Miki.31,很快繁重琐碎的工作磨平了所有热爱。,
OutsideHolly.Miki.32,只剩下责任啊——,
OutsideHolly.Miki.33,责任和想跑路的心情在斗争。,
OutsideHolly.Holly.34,哈哈，你也是个可爱的人啊。,
OutsideHolly.Miki.35,啊……嗯?,
OutsideHolly.Holly.36,没什么，我该走了。,
OutsideHolly.Holly.37,今天实在是发生了太多事情。,
OutsideHolly.Miki.4.3,你要抽一根吗？,
OutsideHolly.Holly.39,我还没有抽过烟。,
OutsideHolly.Holly.40,不过我一直挺想试试的。,
OutsideHolly.Holly.41,但你这个是电子烟……,
OutsideHolly.Miki.42,如果你不介意的话。,
OutsideHolly.Holly.43,呃……好吧。,
OutsideHolly.Holly.44,吸——,
OutsideHolly.Holly.45,咳、咳、咳——！！,
OutsideHolly.Holly.46,咳咳咳咳！,
OutsideHolly.Miki.47,好点了吗？,
OutsideHolly.Holly.48,咳……呜，从来没有想过烟会是这个味道。,
OutsideHolly.Holly.49,你这是什么味啊？,
OutsideHolly.Miki.50,肉桂石榴味。,
OutsideHolly.Miki.51,最后一口福根了。,
OutsideHolly.Holly.52,好吧，我还挺喜欢这个味道的。,
OutsideHolly.Holly.53,但吸烟有害健康，你知道吧？,
OutsideHolly.Holly.54,所以这就是我的最后一口了。,
OutsideHolly.Miki.55,真可惜，少了一个烟友。,
OutsideHolly.Holly.56,哈哈，谢谢你，不过我该走了。,
OutsideHolly.Holly.57,今天实在是发生了太多事情。,
